iter	RMSE
0	0.3239113293
1	0.2982402415
2	0.2798901745
3	0.2658804281
4	0.2547385823
5	0.2463295696
6	0.2398268478
7	0.2304135185
8	0.2209286229
9	0.2157621915
10	0.2093127912
11	0.2057951176
12	0.2016426338
13	0.1987054351
14	0.196262802
15	0.1943870236
16	0.1923267092
17	0.1901490399
18	0.188917965
19	0.1874091367
20	0.1858250406
21	0.1848863921
22	0.1832165994
23	0.1813160688
24	0.17976025
25	0.1788791253
26	0.1783810741
27	0.1776276845
28	0.1769810728
29	0.1765396764
30	0.1759242848
31	0.1746365653
32	0.1741608833
33	0.1734258376
34	0.1727046892
35	0.1711488935
36	0.1704948411
37	0.170102789
38	0.1697949538
39	0.1693466898
40	0.1690881432
41	0.1685926018
42	0.1678277328
43	0.167500995
44	0.1667478112
45	0.1660532438
46	0.1653699179
47	0.1651179768
48	0.1648780114
49	0.1640734918
50	0.1630701256
51	0.1627121826
52	0.1624411581
53	0.1620162327
54	0.1616568424
55	0.1611198239
56	0.160591033
57	0.1600527455
58	0.1597522935
59	0.1594560451
60	0.1592277216
61	0.1590692305
62	0.1588053993
63	0.1586334606
64	0.1584266298
65	0.1580685111
66	0.1578917789
67	0.1575287817
68	0.1572582588
69	0.1569204303
70	0.1564236499
71	0.1560563322
72	0.1558276407
73	0.1556686344
74	0.1551250617
75	0.1549582157
76	0.154627793
77	0.1543518122
78	0.1540896092
79	0.153927486
80	0.1536928091
81	0.1533158526
82	0.1531777569
83	0.153060898
84	0.1529105259
85	0.1526841762
86	0.1523405418
87	0.1522146131
88	0.1519271717
89	0.151793497
90	0.1516169808
91	0.1513549702
92	0.1508736202
93	0.150742079
94	0.1505351384
95	0.1504097146
96	0.1502534705
97	0.1501233333
98	0.1498246377
99	0.149551066
100	0.1494104037
101	0.1491886374
102	0.1489647569
103	0.1488949328
104	0.1486524133
105	0.1484649236
106	0.1483139863
107	0.1482098314
108	0.1479902515
109	0.1478401891
110	0.1477259618
111	0.1474964656
112	0.1474053339
113	0.1473080612
114	0.1471611288
115	0.1468324359
116	0.1467183962
117	0.1466158744
118	0.1464065873
119	0.1461847891
120	0.1460468157
121	0.1458833988
122	0.1457573839
123	0.1455432143
124	0.1454205567
125	0.1453307688
126	0.1452016503
127	0.1451150802
128	0.1448322763
129	0.1447565737
130	0.1445752738
131	0.1444839514
132	0.1443774134
133	0.1442520165
134	0.1440290803
135	0.1439327956
136	0.1438014126
137	0.1436839249
138	0.1435075228
139	0.1432950372
140	0.1431902891
141	0.1431081946
142	0.1428957656
143	0.1427955999
144	0.1427005763
145	0.1426046952
146	0.1424580402
147	0.1423331519
148	0.1422140725
149	0.1420308594
150	0.1419311283
151	0.1417960687
152	0.1417040091
153	0.1415955761
154	0.1414786114
155	0.1414054032
156	0.1413137237
157	0.1412311605
158	0.141104917
159	0.1410124658
160	0.1409340654
161	0.140820388
162	0.1407281496
163	0.1406762789
164	0.1406194239
165	0.1405402058
166	0.1404524983
167	0.1403648155
168	0.1402520652
169	0.1400809749
170	0.1400238076
171	0.1399052864
172	0.1397769427
173	0.1396866521
174	0.1396104532
175	0.1394801362
176	0.1393778792
177	0.1392691124
178	0.1390620033
179	0.1389704269
180	0.1388588766
181	0.1387202892
182	0.1386282158
183	0.1385754194
184	0.1385270177
185	0.1384495081
