iter	Passed	Remaining
0	1	904
1	3	873
2	4	823
3	6	822
4	8	820
5	9	801
6	11	796
7	13	809
8	14	814
9	16	821
10	18	821
11	20	826
12	22	824
13	23	816
14	25	809
15	26	806
16	28	804
17	30	807
18	31	809
19	33	804
20	35	800
21	36	794
22	38	799
23	40	798
24	41	791
25	43	789
26	44	785
27	46	780
28	47	774
29	49	772
30	50	768
31	52	764
32	53	761
33	55	759
34	56	754
35	58	754
36	60	754
37	62	754
38	63	752
39	65	748
40	66	746
41	68	743
42	69	739
43	70	735
44	72	735
45	74	734
46	76	735
47	77	734
48	79	730
49	80	728
50	82	726
51	84	724
52	85	721
53	86	718
54	88	717
55	90	716
56	92	716
57	93	714
58	95	711
59	96	709
60	98	707
61	99	704
62	101	703
63	102	700
64	104	697
65	105	695
66	107	693
67	108	690
68	110	689
69	111	687
70	113	685
71	114	683
72	116	681
73	117	678
74	119	676
75	121	675
76	123	676
77	124	674
78	126	671
79	127	669
80	129	667
81	130	664
82	131	662
83	133	660
84	134	658
85	136	657
86	137	654
87	139	653
88	141	651
89	142	649
90	144	647
91	145	644
92	146	642
93	148	642
94	150	642
95	152	641
96	153	639
97	155	637
98	156	635
99	158	632
100	159	630
101	160	628
102	162	625
103	164	624
104	165	623
105	167	623
106	169	623
107	171	622
108	173	621
109	174	619
110	176	617
111	177	615
112	179	613
113	180	612
114	182	610
115	184	609
116	185	607
117	187	606
118	188	604
119	190	602
120	191	600
121	193	598
122	194	596
123	195	594
124	197	592
125	198	590
126	200	588
127	202	587
128	203	585
129	205	583
130	206	582
131	208	580
132	210	579
133	211	578
134	213	577
135	215	576
136	216	573
137	218	571
138	220	571
139	221	569
140	222	567
141	224	565
142	225	563
143	227	561
144	228	559
145	229	557
146	231	554
147	232	553
148	234	551
149	235	549
150	236	547
151	238	545
152	239	544
153	241	542
154	242	540
155	244	538
156	245	536
157	246	534
158	248	532
159	249	531
160	251	529
161	252	527
162	253	525
163	255	523
164	256	521
165	258	519
166	259	517
167	260	515
168	262	513
169	263	511
170	265	510
171	266	508
172	268	507
173	269	505
174	271	503
175	272	501
176	273	499
177	275	497
178	276	496
179	278	494
180	279	492
181	280	490
182	282	488
183	283	487
184	285	485
185	286	483
186	287	481
187	289	479
188	290	478
189	292	476
190	293	474
191	295	473
192	296	471
193	297	469
194	299	467
195	300	466
196	302	464
197	303	462
198	304	460
199	306	459
200	307	457
201	308	455
202	310	454
203	311	452
204	313	450
205	314	448
206	315	447
207	317	445
208	318	443
209	320	442
210	321	440
211	323	438
212	324	437
213	326	436
214	327	434
215	329	433
216	331	432
217	332	430
218	334	428
219	335	427
220	337	425
221	338	423
222	340	422
223	341	421
224	343	419
225	344	417
226	346	416
227	347	414
228	349	413
229	351	412
230	353	411
231	354	409
232	356	408
233	357	406
234	358	404
235	360	403
236	361	401
237	363	399
238	364	397
239	365	396
240	367	394
241	368	392
242	369	391
243	371	389
244	372	387
245	374	386
246	375	384
247	376	382
248	378	381
249	379	379
250	381	378
251	382	376
252	384	375
253	385	373
254	386	371
255	388	370
256	389	368
257	391	366
258	392	365
259	393	363
260	395	361
261	396	360
262	397	358
263	399	357
264	400	355
265	402	353
266	403	352
267	405	350
268	406	349
269	408	347
270	409	345
271	410	344
272	412	342
273	413	341
274	414	339
275	416	338
276	417	336
277	419	334
278	420	333
279	422	331
280	423	330
281	424	328
282	426	326
283	427	325
284	429	323
285	430	322
286	431	320
287	433	319
288	434	317
289	436	316
290	437	314
291	439	312
292	440	311
293	441	309
294	443	308
295	444	306
296	446	304
297	447	303
298	449	301
299	450	300
300	451	298
301	453	297
302	454	295
303	456	294
304	457	292
305	459	291
306	461	290
307	463	288
308	464	287
309	466	285
310	467	284
311	469	282
312	470	281
313	472	279
314	473	278
315	474	276
316	476	275
317	477	273
318	479	271
319	480	270
320	482	268
321	483	267
322	484	265
323	486	264
324	487	262
325	489	261
326	491	259
327	492	258
328	493	256
329	495	255
330	496	253
331	498	252
332	499	250
333	501	249
334	502	247
335	503	245
336	505	244
337	506	242
338	507	241
339	509	239
340	511	238
341	512	236
342	514	235
343	515	233
344	517	232
345	518	230
346	520	229
347	521	227
348	523	226
349	524	224
350	526	223
351	527	221
352	529	220
353	530	218
354	532	217
355	533	215
356	535	214
357	536	212
358	538	211
359	539	209
360	541	208
361	542	206
362	544	205
363	545	203
